Entity,Code,Day,people_vaccinated
Alabama,,2022-08-17,3130184
Alabama,,2022-08-24,3132808
Alabama,,2022-08-31,3135199
Alabama,,2022-09-07,3136836
Alabama,,2022-09-14,3139166
Alabama,,2022-09-21,3141540
Alabama,,2022-09-28,3144023
Alabama,,2022-10-05,3146465
Alabama,,2022-10-12,3148955
Alabama,,2022-10-19,3151575
Alabama,,2022-10-26,3154393
Alabama,,2022-11-02,3157415
Alaska,,2021-01-12,22486
Alaska,,2021-01-13,24541
Alaska,,2021-01-14,35508
Alaska,,2021-01-15,39546
Alaska,,2021-01-19,55434
Alaska,,2021-01-20,56911
Alaska,,2021-01-21,59449
Alaska,,2021-01-22,67262
Alaska,,2021-01-23,73014
Alaska,,2021-01-24,77925
Alaska,,2021-01-25,80226
Alaska,,2021-01-26,81200
Alaska,,2021-01-27,83363
Alaska,,2021-01-28,85672
Alaska,,2021-01-29,88654
Alaska,,2021-01-30,91794
Alaska,,2021-01-31,94889
Alaska,,2021-02-01,96396
Alaska,,2021-02-02,97076
Alaska,,2021-02-03,98076
Alaska,,2021-02-04,99596
Alaska,,2021-02-05,101225
Alaska,,2021-02-06,103163
Alaska,,2021-02-07,106311
Alaska,,2021-02-08,109890
Alaska,,2021-02-09,110936
Alaska,,2021-02-10,112448
Alaska,,2021-02-11,116001
Alaska,,2021-02-12,118189
Alaska,,2021-02-13,122463
Alaska,,2021-02-14,126381
Alaska,,2021-02-16,129658
Alaska,,2021-02-17,130751
Alaska,,2021-02-18,133491
Alaska,,2021-02-19,143887
Alaska,,2021-02-20,148299
Alaska,,2021-02-21,152349
Alaska,,2021-02-22,153572
Alaska,,2021-02-23,154618
Alaska,,2021-02-24,156267
Alaska,,2021-02-25,158792
Alaska,,2021-02-26,161595
Alaska,,2021-02-27,163739
Alaska,,2021-02-28,166735
Alaska,,2021-03-01,168069
Alaska,,2021-03-02,168646
Alaska,,2021-03-03,170586
Alaska,,2021-03-04,172414
Alaska,,2021-03-05,174588
Alaska,,2021-03-06,178237
Alaska,,2021-03-07,180948
Alaska,,2021-03-08,182230
Alaska,,2021-03-09,184906
Alaska,,2021-03-10,188281
Alaska,,2021-03-11,190712
Alaska,,2021-03-12,193951
Alaska,,2021-03-13,197436
Alaska,,2021-03-14,202410
Alaska,,2021-03-15,205256
Alaska,,2021-03-16,206403
Alaska,,2021-03-17,210932
Alaska,,2021-03-18,213432
Alaska,,2021-03-19,216781
Alaska,,2021-03-20,221157
Alaska,,2021-03-21,228333
Alaska,,2021-03-22,230614
Alaska,,2021-03-23,231342
Alaska,,2021-03-24,233037
Alaska,,2021-03-25,236062
Alaska,,2021-03-26,239599
Alaska,,2021-03-27,242733
Alaska,,2021-03-28,245355
Alaska,,2021-03-29,246515
Alaska,,2021-03-30,247097
Alaska,,2021-03-31,248711
Alaska,,2021-04-01,250378
Alaska,,2021-04-02,252586
Alaska,,2021-04-03,254263
Alaska,,2021-04-04,257375
Alaska,,2021-04-05,258376
Alaska,,2021-04-06,258884
Alaska,,2021-04-07,260622
Alaska,,2021-04-08,263119
Alaska,,2021-04-09,265468
Alaska,,2021-04-10,268587
Alaska,,2021-04-11,270838
Alaska,,2021-04-12,272212
Alaska,,2021-04-13,282684
Alaska,,2021-04-14,284110
Alaska,,2021-04-15,284193
Alaska,,2021-04-16,286100
Alaska,,2021-04-17,288040
Alaska,,2021-04-18,290503
Alaska,,2021-04-19,291456
Alaska,,2021-04-20,291921
Alaska,,2021-04-21,294331
Alaska,,2021-04-22,296911
Alaska,,2021-04-23,298047
Alaska,,2021-04-24,299312
Alaska,,2021-04-25,300351
Alaska,,2021-04-26,300706
Alaska,,2021-04-27,301212
Alaska,,2021-04-28,301770
Alaska,,2021-04-29,304657
Alaska,,2021-04-30,305395
Alaska,,2021-05-01,307711
Alaska,,2021-05-02,308462
Alaska,,2021-05-03,308656
Alaska,,2021-05-04,308846
Alaska,,2021-05-05,309518
Alaska,,2021-05-06,310415
Alaska,,2021-05-07,311397
Alaska,,2021-05-08,312475
Alaska,,2021-05-09,312535
Alaska,,2021-05-10,314070
Alaska,,2021-05-11,314577
Alaska,,2021-05-12,315132
Alaska,,2021-05-13,315883
Alaska,,2021-05-14,316924
Alaska,,2021-05-15,318593
Alaska,,2021-05-16,320705
Alaska,,2021-05-17,321214
Alaska,,2021-05-18,321664
Alaska,,2021-05-19,323863
Alaska,,2021-05-20,325229
Alaska,,2021-05-21,327119
Alaska,,2021-05-22,328869
Alaska,,2021-05-23,330605
Alaska,,2021-05-24,331243
Alaska,,2021-05-25,331563
Alaska,,2021-05-26,332524
Alaska,,2021-05-27,333592
Alaska,,2021-05-28,335110
Alaska,,2021-05-29,336394
Alaska,,2021-05-30,337367
Alaska,,2021-06-01,338093
Alaska,,2021-06-02,338229
Alaska,,2021-06-03,339124
Alaska,,2021-06-04,340100
Alaska,,2021-06-05,340957
Alaska,,2021-06-06,341938
Alaska,,2021-06-07,342656
Alaska,,2021-06-08,342912
Alaska,,2021-06-09,343010
Alaska,,2021-06-10,343730
Alaska,,2021-06-11,344459
Alaska,,2021-06-12,345283
Alaska,,2021-06-13,345834
Alaska,,2021-06-14,346459
Alaska,,2021-06-15,346864
Alaska,,2021-06-16,347501
Alaska,,2021-06-17,348126
Alaska,,2021-06-18,348668
Alaska,,2021-06-19,349289
Alaska,,2021-06-20,349769
Alaska,,2021-06-21,350345
Alaska,,2021-06-22,350473
Alaska,,2021-06-23,350776
Alaska,,2021-06-24,351550
Alaska,,2021-06-25,352136
Alaska,,2021-06-26,353979
Alaska,,2021-06-27,354711
Alaska,,2021-06-28,355751
Alaska,,2021-06-29,356834
Alaska,,2021-06-30,358311
Alaska,,2021-07-01,358963
Alaska,,2021-07-02,362684
Alaska,,2021-07-03,363378
Alaska,,2021-07-04,364309
Alaska,,2021-07-06,366245
Alaska,,2021-07-07,366305
Alaska,,2021-07-08,366916
Alaska,,2021-07-09,367466
Alaska,,2021-07-10,368156
Alaska,,2021-07-11,368702
Alaska,,2021-07-12,369011
Alaska,,2021-07-13,369207
Alaska,,2021-07-14,369636
Alaska,,2021-07-15,370116
Alaska,,2021-07-20,370546
Alaska,,2021-07-21,371062
Alaska,,2021-07-22,371514
Alaska,,2021-07-23,372132
Alaska,,2021-07-24,372902
Alaska,,2021-07-25,372940
Alaska,,2021-07-26,374025
Alaska,,2021-07-27,374281
Alaska,,2021-07-28,374736
Alaska,,2021-07-29,375359
Alaska,,2021-07-30,376154
Alaska,,2021-07-31,376882
Alaska,,2021-08-01,376948
Alaska,,2021-08-02,377019
Alaska,,2021-08-03,378395
Alaska,,2021-08-04,379022
Alaska,,2021-08-05,379859
Alaska,,2021-08-06,380643
Alaska,,2021-08-07,381470
Alaska,,2021-08-08,381619
Alaska,,2021-08-09,381639
Alaska,,2021-08-10,381886
Alaska,,2021-08-11,382608
Alaska,,2021-08-12,383274
Alaska,,2021-08-13,384191
Alaska,,2021-08-14,384971
Alaska,,2021-08-15,385053
Alaska,,2021-08-16,386179
Alaska,,2021-08-17,386600
Alaska,,2021-08-18,387173
Alaska,,2021-08-19,387991
Alaska,,2021-08-20,388778
Alaska,,2021-08-21,389526
Alaska,,2021-08-22,389639
Alaska,,2021-08-23,389663
Alaska,,2021-08-24,390953
Alaska,,2021-08-25,391775
Alaska,,2021-08-26,392662
Alaska,,2021-08-27,393512
Alaska,,2021-08-28,394238
Alaska,,2021-08-29,394485
Alaska,,2021-08-30,396069
Alaska,,2021-08-31,396543
Alaska,,2021-09-01,397332
Alaska,,2021-09-02,398263
Alaska,,2021-09-03,399260
Alaska,,2021-09-04,400061
